名稱,價格,顏色,成分,描述,路徑
標準剪裁提花針織套衫,"NT$1,799",酒紅色,柔軟提花針織套衫，含羊駝毛，標準剪裁，長拼接袖，羅紋領口、袖口和下襬。,"聚丙烯腈纖維 54%, 聚醯胺纖維 41%, 羊駝毛 5%",image/hm/man/11.jpg
標準剪裁羊毛混紡套衫,"NT$1,799",混米色,絞花針織套衫，柔軟羊毛混紡布料，標準剪裁，羅紋立領，上部有拉鍊，長袖款式。,"聚丙烯腈纖維 65%, 聚醯胺纖維 25%, 羊毛 10%",image/hm/man/12.jpg
夾克襯衫,"NT$1,299",米色/格紋,有領夾克襯衫，柔軟平織布料，正面鈕扣開襟，背面有肩襠，有鈕扣式翻蓋胸袋，長袖袖口配鈕扣。,"聚酯纖維 73%, 聚丙烯腈纖維 25%, 羊毛 2%",image/hm/man/13.jpg
標準剪裁牛津襯衫,NT$799,酒紅色,棉質牛津布襯衫，標準剪裁，鈕扣領，經典前襟設計，背面有肩襠，有開口式單胸袋，長袖袖口配鈕扣，袖衩配單顆鈕扣，微圓下襬。,棉 100%,image/hm/man/14.jpg
標準剪裁法蘭絨襯衫,NT$999,紅色/黑色格紋,柔軟棉質法蘭絨襯衫，翻領，正面鈕扣開襟，背面有肩襠，標準剪裁，有開口式單胸袋，長袖袖口配鈕扣，袖衩配單顆鈕扣，微圓下襬。,棉 100%,image/hm/man/15.jpg
傘兵工作褲,"NT$1,499",黑色,傘兵工作褲，平織布料，休閒剪裁，鬆緊帶腰圍配抽繩，假門襟。有斜側袋和一個假嵌線後袋，寬鬆褲管有翻蓋袋，膝部抓褶可增加寬鬆度。褲腳彈性抽繩有繩扣。,聚酯纖維 100%,image/hm/man/16.jpg
DryMove™寬鬆剪裁連帽上衣,"NT$1,499",黑色,連帽上衣，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。寬鬆剪裁，交疊式連衣帽有內裡，垂肩長袖，有袋鼠袋，羅紋袖口和下襬。,棉 100%,image/hm/man/17.jpg
休閒剪裁運動衫,NT$999,深灰色/菲力貓,上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,"棉 60%, 聚酯纖維 40%",image/hm/man/18.jpg
寬鬆剪裁拉鍊泰迪熊上衣,NT$799,黑色,柔軟泰迪熊上衣，立領，正面拉鍊開襟，垂肩長袖，有隱形側袋，寬鬆剪裁，袖口和下襬有覆面鬆緊帶。,聚酯纖維 100%,image/hm/man/19.jpg
合身運動長褲,NT$599,米色,運動長褲，輕薄棉質混紡汗衫布料，柔軟刷毛內裡。覆面鬆緊帶腰圍配抽繩，側縫處有口袋，羅紋褲腳。標準剪裁，打造舒適經典線條。,棉 100%,image/hm/man/20.jpg
寬鬆剪裁拉鍊連帽外套,NT$799,米色/Universal Mysteries,汗衫布料連帽外套，寬鬆剪裁，連衣帽有絨毛內裡，正面拉鍊開襟，有斜側袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/man/21.jpg
休閒剪裁圖案連帽上衣,NT$799,深紫色,長袖連帽上衣，棉質混紡汗衫布料，印有圖案。休閒剪裁，雙層連衣帽有抽繩，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/man/22.jpg
DryMove™ Sports T-shirt,NT$349,咖啡色/印花,"Sports T-shirt in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a narrow trim around the neckline and a print motif on the front.",聚酯纖維 100%,image/hm/man/23.jpg
寬鬆剪裁拉鍊連帽外套,NT$799,深藍色/Mysteries,汗衫布料連帽外套，寬鬆剪裁，連衣帽有絨毛內裡，正面拉鍊開襟，有斜側袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/man/24.jpg
標準剪裁寬高領開襟衫,"NT$1,799",深灰色,柔軟針織開襟衫，標準剪裁，正面鈕扣開襟，有側袋，長袖款式。羅紋寬高領、袋口、袖口、下襬和鈕扣門襟。,"聚丙烯腈纖維 65%, 聚醯胺纖維 25%, 羊毛 10%",image/hm/man/25.jpg
DryMove™寬鬆剪裁連帽上衣,"NT$1,499",淺米色,連帽上衣，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。寬鬆剪裁，交疊式連衣帽有內裡，垂肩長袖，有袋鼠袋，羅紋袖口和下襬。,棉 100%,image/hm/man/26.jpg
直筒中腰牛仔褲,"NT$1,499",丹寧藍,5袋式棉質丹寧牛仔褲，微彈性布料，讓穿著倍添舒適。直筒褲管，腰部至褲腳為合身剪裁，腿部略為寬鬆舒適。中腰剪裁，拉鍊門襟。不敗丹寧款。,"棉 98%, 彈性纖維 2%",image/hm/man/27.jpg
標準剪裁圖案連帽上衣,NT$799,深藍色,連帽上衣，棉質混紡汗衫布料，標準剪裁，連衣帽有內裡和抽繩，正面印圖案，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 58%, 聚酯纖維 42%",image/hm/man/28.jpg
標準剪裁絨布夾克襯衫,"NT$1,499",奶油色,有領夾克襯衫，柔軟棉質絨布布料，正面拉鍊開襟，標準剪裁，有翻蓋式胸袋，長袖袖口配鈕扣，平切下襬。,棉 100%,image/hm/man/29.jpg
休閒剪裁運動長褲,NT$599,海軍藍,運動長褲，中量棉質混紡汗衫布料，柔軟刷毛內裡。覆面鬆緊帶腰圍配抽繩，側縫處有口袋，羅紋褲腳。非加大碼休閒剪裁，打造隨興風格。,"棉 60%, 聚酯纖維 40%",image/hm/man/30.jpg
THERMOLITE® 標準剪裁平紋上衣,NT$499,鼠尾草綠,長袖上衣，輕薄平紋布料，羅紋圓領，平切下襬。標準剪裁，打造舒適經典線條。採用THERMOLITE®技術，布料輕薄但具保暖效果。,"棉 60%, 聚酯纖維 40%",image/hm/man/31.jpg
標準剪裁圖案連帽上衣,NT$799,深灰色/Universal Mysteries,連帽上衣，棉質混紡汗衫布料，標準剪裁，連衣帽有內裡和抽繩，正面印圖案，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 58%, 聚酯纖維 42%",image/hm/man/32.jpg
THERMOLITE® 標準剪裁平紋上衣,NT$499,淺米色,長袖上衣，輕薄平紋布料，羅紋圓領，平切下襬。標準剪裁，打造舒適經典線條。採用THERMOLITE®技術，布料輕薄但具保暖效果。,"棉 60%, 聚酯纖維 40%",image/hm/man/33.jpg
標準剪裁提花針織套衫,"NT$1,799",深咖啡色/印花,柔軟提花針織套衫，含羊駝毛，標準剪裁，長拼接袖，羅紋領口、袖口和下襬。,"聚丙烯腈纖維 54%, 聚醯胺纖維 41%, 羊駝毛 5%",image/hm/man/34.jpg
寬鬆剪裁連帽上衣,NT$599,淺咖啡色,連帽上衣，中量棉質混紡汗衫布料，柔軟刷毛內裡。連衣帽有平紋內裡和抽繩，垂肩長袖，有袋鼠袋，寬邊羅紋袖口和下襬。非加大碼寬鬆剪裁，打造寬版線條。,"棉 60%, 聚酯纖維 40%",image/hm/man/35.jpg
貼身輕薄鋪棉背心,NT$999,黑色,平織車縫薄鋪棉背心，立領，正面拉鍊有防磨擋布，貼身剪裁，有拉鍊式隱形側袋和開口式暗袋。袖口有細彈性飾邊。無內裡。,聚酯纖維 100%,image/hm/man/36.jpg
標準剪裁毛氈夾克襯衫,"NT$1,499",深藍色/格紋,單排扣大衣，羊毛混紡毛氈布料，缺口翻領，正面鈕扣開襟，有嵌線斜側袋。衣袖有內裡。,"聚酯纖維 78%, 羊毛 22%",image/hm/man/37.jpg
標準剪裁寬高領開襟衫,"NT$1,799",米色,長袖連帽上衣，柔軟汗衫布料布料，雙層連衣帽有抽繩，正面交疊設計。有袋鼠袋，羅紋袖口和下襬。,"棉 63%, 聚酯纖維 37%",image/hm/man/38.jpg
DryMove™運動工作短褲,NT$999,米色/大理石紋,長袖連帽上衣，柔軟汗衫布料布料，雙層連衣帽有抽繩，正面交疊設計。有袋鼠袋，羅紋袖口和下襬。,"棉 60%, 聚酯纖維 40%",image/hm/man/39.jpg
DryMove™運動背心上衣,NT$599,咖啡色/印花,上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,"棉 59%, 聚酯纖維 41%",image/hm/man/40.jpg
Loose Fit Bouclé overshirt,"NT$1,799",黑色,上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,"棉 60%, 聚酯纖維 40%",image/hm/man/41.jpg
DryMove™運動T恤,NT$699,黑色,上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,"棉 60%, 聚酯纖維 40%",image/hm/man/42.jpg
貼身牛仔褲,NT$799,深丹寧藍,有領襯衫式外套，柔軟棉質絨布布料，正面鈕扣開襟，休閒剪裁，有翻蓋式胸袋，袖口配鈕扣，平切下襬。無內裡。,棉 100%,image/hm/man/43.jpg
DryMove™運動背心上衣,NT$599,淺米色,有領夾克襯衫，柔軟平織布料，正面鈕扣開襟，背面有肩襠，有鈕扣式翻蓋胸袋，長袖袖口配鈕扣。,"聚酯纖維 74%, 聚丙烯腈纖維 20%, 嫘縈 4%, 聚醯胺纖維 2%",image/hm/man/44.jpg
DryMove™運動背心上衣,NT$599,黑色,長袖連帽上衣，棉質混紡汗衫布料，印有圖案。休閒剪裁，雙層連衣帽有抽繩，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/man/45.jpg
中腰錐形牛仔褲,"NT$1,499",丹寧藍,上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,"棉 60%, 聚酯纖維 40%",image/hm/man/46.jpg
標準剪裁Polo衫,"NT$1,499",White,柔軟提花針織套衫，含羊駝毛，標準剪裁，長拼接袖，羅紋領口、袖口和下襬。,"聚丙烯腈纖維 54%, 聚醯胺纖維 41%, 羊駝毛 5%",image/hm/man/47.jpg
休閒剪裁圖案運動衫,NT$799,米色/Bring Peace,絞花針織套衫，柔軟羊毛混紡布料，標準剪裁，羅紋立領，上部有拉鍊，長袖款式。,"聚丙烯腈纖維 65%, 聚醯胺纖維 25%, 羊毛 10%",image/hm/man/48.jpg
DryMove™口袋細節運動衫,"NT$1,299",黑色,有領夾克襯衫，柔軟平織布料，正面鈕扣開襟，背面有肩襠，有鈕扣式翻蓋胸袋，長袖袖口配鈕扣。,"聚酯纖維 73%, 聚丙烯腈纖維 25%, 羊毛 2%",image/hm/man/49.jpg
休閒剪裁圖案連帽上衣,NT$999,綠色/Never Stay Down,棉質牛津布襯衫，標準剪裁，鈕扣領，經典前襟設計，背面有肩襠，有開口式單胸袋，長袖袖口配鈕扣，袖衩配單顆鈕扣，微圓下襬。,棉 100%,image/hm/man/50.jpg
標準剪裁平紋上衣,NT$299,咖啡色,柔軟棉質法蘭絨襯衫，翻領，正面鈕扣開襟，背面有肩襠，標準剪裁，有開口式單胸袋，長袖袖口配鈕扣，袖衩配單顆鈕扣，微圓下襬。,棉 100%,image/hm/man/51.jpg
收窄運動慢跑褲,NT$999,黑色,傘兵工作褲，平織布料，休閒剪裁，鬆緊帶腰圍配抽繩，假門襟。有斜側袋和一個假嵌線後袋，寬鬆褲管有翻蓋袋，膝部抓褶可增加寬鬆度。褲腳彈性抽繩有繩扣。,聚酯纖維 100%,image/hm/man/52.jpg
標準剪裁嫘縈襯衫,NT$799,黑色/花朵,連帽上衣，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。寬鬆剪裁，交疊式連衣帽有內裡，垂肩長袖，有袋鼠袋，羅紋袖口和下襬。,棉 100%,image/hm/man/53.jpg
羅紋針織帽,NT$349,深咖啡色,上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,"棉 60%, 聚酯纖維 40%",image/hm/man/54.jpg
貼身慢跑褲,"NT$1,299",黑色,柔軟泰迪熊上衣，立領，正面拉鍊開襟，垂肩長袖，有隱形側袋，寬鬆剪裁，袖口和下襬有覆面鬆緊帶。,聚酯纖維 100%,image/hm/man/55.jpg
DryMove™寬鬆剪裁連帽上衣,"NT$1,499",淺米色,運動長褲，輕薄棉質混紡汗衫布料，柔軟刷毛內裡。覆面鬆緊帶腰圍配抽繩，側縫處有口袋，羅紋褲腳。標準剪裁，打造舒適經典線條。,棉 100%,image/hm/man/56.jpg
DryMove™口袋細節運動衫,"NT$1,299",淺灰米色,汗衫布料連帽外套，寬鬆剪裁，連衣帽有絨毛內裡，正面拉鍊開襟，有斜側袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/man/57.jpg
標準剪裁棉質橄欖球衫,NT$599,深紅色,長袖連帽上衣，棉質混紡汗衫布料，印有圖案。休閒剪裁，雙層連衣帽有抽繩，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/man/58.jpg
Moccasin-seam shoes,"NT$1,799",深咖啡色,"Sports T-shirt in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a narrow trim around the neckline and a print motif on the front.",聚酯纖維 100%,image/hm/man/59.jpg
貼身華夫格Polo衫,NT$599,奶油色,汗衫布料連帽外套，寬鬆剪裁，連衣帽有絨毛內裡，正面拉鍊開襟，有斜側袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/man/60.jpg
DryMove™ Sports T-shirt,NT$349,橘色,柔軟針織開襟衫，標準剪裁，正面鈕扣開襟，有側袋，長袖款式。羅紋寬高領、袋口、袖口、下襬和鈕扣門襟。,"聚丙烯腈纖維 65%, 聚醯胺纖維 25%, 羊毛 10%",image/hm/man/61.jpg
DryMove™運動T恤,NT$699,淺米色,連帽上衣，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。寬鬆剪裁，交疊式連衣帽有內裡，垂肩長袖，有袋鼠袋，羅紋袖口和下襬。,棉 100%,image/hm/man/62.jpg
標準剪裁毛圈紗套衫,"NT$1,499",Light beige,5袋式棉質丹寧牛仔褲，微彈性布料，讓穿著倍添舒適。直筒褲管，腰部至褲腳為合身剪裁，腿部略為寬鬆舒適。中腰剪裁，拉鍊門襟。不敗丹寧款。,"棉 98%, 彈性纖維 2%",image/hm/man/63.jpg
DryMove™運動工作短褲,NT$999,黑色,連帽上衣，棉質混紡汗衫布料，標準剪裁，連衣帽有內裡和抽繩，正面印圖案，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 58%, 聚酯纖維 42%",image/hm/man/64.jpg
DryMove™彈性運動短褲,NT$599,黑色,有領夾克襯衫，柔軟棉質絨布布料，正面拉鍊開襟，標準剪裁，有翻蓋式胸袋，長袖袖口配鈕扣，平切下襬。,棉 100%,image/hm/man/65.jpg
寬鬆剪裁絨毛上衣,"NT$1,499",黑色,運動長褲，中量棉質混紡汗衫布料，柔軟刷毛內裡。覆面鬆緊帶腰圍配抽繩，側縫處有口袋，羅紋褲腳。非加大碼休閒剪裁，打造隨興風格。,"棉 60%, 聚酯纖維 40%",image/hm/man/66.jpg
寬鬆剪裁拉鍊絨毛上衣,"NT$1,499",淺米色/山,長袖上衣，輕薄平紋布料，羅紋圓領，平切下襬。標準剪裁，打造舒適經典線條。採用THERMOLITE®技術，布料輕薄但具保暖效果。,"棉 60%, 聚酯纖維 40%",image/hm/man/67.jpg
合身絨布長褲,"NT$1,499",咖啡色,連帽上衣，棉質混紡汗衫布料，標準剪裁，連衣帽有內裡和抽繩，正面印圖案，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 58%, 聚酯纖維 42%",image/hm/man/68.jpg
Regular Fit Twill joggers,"NT$1,499",深灰色/格紋,長袖上衣，輕薄平紋布料，羅紋圓領，平切下襬。標準剪裁，打造舒適經典線條。採用THERMOLITE®技術，布料輕薄但具保暖效果。,"棉 60%, 聚酯纖維 40%",image/hm/man/69.jpg
DryMove™寬鬆剪裁棉質觸感運動T恤,NT$499,黑色/磨損,柔軟提花針織套衫，含羊駝毛，標準剪裁，長拼接袖，羅紋領口、袖口和下襬。,"聚丙烯腈纖維 54%, 聚醯胺纖維 41%, 羊駝毛 5%",image/hm/man/70.jpg
收窄運動慢跑褲,NT$999,淺灰混色,連帽上衣，中量棉質混紡汗衫布料，柔軟刷毛內裡。連衣帽有平紋內裡和抽繩，垂肩長袖，有袋鼠袋，寬邊羅紋袖口和下襬。非加大碼寬鬆剪裁，打造寬版線條。,"棉 60%, 聚酯纖維 40%",image/hm/man/71.jpg
標準剪裁絨布襯衫,NT$799,黑色,平織車縫薄鋪棉背心，立領，正面拉鍊有防磨擋布，貼身剪裁，有拉鍊式隱形側袋和開口式暗袋。袖口有細彈性飾邊。無內裡。,聚酯纖維 100%,image/hm/man/72.jpg
標準剪裁華夫格襯衫,"NT$1,799",深咖啡色,有領夾克襯衫，毛氈布料，正面拉鍊開襟，背面有肩襠，有翻蓋式胸袋，長袖袖口有單衩和鈕扣，平切下襬。標準剪裁，打造舒適經典線條。,聚酯纖維 100%,image/hm/man/73.jpg
DryMove™寬鬆剪裁T恤,NT$799,淺米色,柔軟針織開襟衫，標準剪裁，正面鈕扣開襟，有側袋，長袖款式。羅紋寬高領、袋口、袖口、下襬和鈕扣門襟。,"聚丙烯腈纖維 65%, 聚醯胺纖維 25%, 羊毛 10%",image/hm/man/74.jpg
貼身牛仔褲,NT$799,深丹寧藍,運動短褲，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。合身剪裁，鬆緊帶腰圍有抽繩和繩扣，有斜側袋、隱形魔鬼粘式翻蓋褲管袋。採四面彈性織法，可提供極佳舒適感，增加靈活度。,"聚酯纖維 88%, 彈性纖維 12%",image/hm/man/75.jpg
標準剪裁拉鍊運動衫,NT$799,白色,運動背心上衣，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。寬鬆剪裁，羅紋圓領。平切下襬，兩側開小衩，後襬略長。,"聚酯纖維 95%, 彈性纖維 5%",image/hm/man/76.jpg
DryMove™健美合身剪裁運動上衣,NT$699,黑色,"Loose-fit overshirt in a soft bouclé weave with a collar, buttons down the front, open chest pockets, long sleeves and buttoned cuffs. Partly lined.",聚酯纖維 100%,image/hm/man/77.jpg
貼身斜紋慢跑褲,NT$999,Black,運動T恤，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。休閒剪裁，羅紋領口，微垂肩設計，下襬兩側開小衩，後襬略長。,"聚酯纖維 73%, 萊賽爾 20%, 彈性纖維 7%",image/hm/man/78.jpg
標準剪裁連帽上衣,NT$799,黑色/Led Zeppelin,5袋式棉質丹寧牛仔褲，微彈性布料，讓穿著倍添舒適。直筒褲管，從腰部、大腿至褲腳為貼身設計。中腰剪裁，拉鍊門襟。好穿搭，可打造時髦或運動風格。,"棉 99%, 彈性纖維 1%",image/hm/man/79.jpg
Relaxed Fit Zip-through jacket,"NT$1,299",淺灰米色,運動背心上衣，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。寬鬆剪裁，羅紋圓領。平切下襬，兩側開小衩，後襬略長。,"聚酯纖維 73%, 萊賽爾 20%, 彈性纖維 7%",image/hm/man/80.jpg
標準剪裁華夫格襯衫,"NT$1,799",咖啡色/粉紅色格紋,運動背心上衣，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。寬鬆剪裁，羅紋圓領。平切下襬，兩側開小衩，後襬略長。,"聚酯纖維 73%, 萊賽爾 20%, 彈性纖維 7%",image/hm/man/81.jpg
印花圍巾,NT$399,酒紅色/米色格紋,5袋式棉質丹寧牛仔褲，微彈性布料，讓穿著倍添舒適。褲管收窄，腰部至褲腳為合身剪裁，腿部略為寬鬆舒適。中腰剪裁，拉鍊門襟。心愛T恤的完美搭配。,"棉 99%, 彈性纖維 1%",image/hm/man/82.jpg
絞花針織圍巾,NT$599,淺米色,柔軟羅紋針織Polo衫，含羊毛，標準剪裁，正面有V形小開口，長袖款式。細羅紋袖口和下襬。,"聚酯纖維 58%, 聚丙烯腈纖維 36%, 羊毛 6%",image/hm/man/83.jpg
Regular Fit Puffer gilet,"NT$1,499",黑色,圖案上衣，棉質混紡汗衫布料，休閒剪裁，羅紋圓領、袖口和下襬。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/man/84.jpg
標準剪裁平紋上衣,NT$299,米色,運動衫，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。寬鬆剪裁，垂肩長袖，有一個拉鍊式袖袋，羅紋圓領、袖口和下襬。,棉 100%,image/hm/man/85.jpg
DryMove™運動T恤,NT$699,咖啡色,圖案連帽上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁。雙層連衣帽有抽繩，垂肩長袖，有袋鼠袋，羅紋袖口和下襬。,"棉 60%, 聚酯纖維 40%",image/hm/man/86.jpg
DryMove™棉質工作慢跑褲,"NT$1,499",黑色,長袖上衣，輕薄棉質平紋布料，羅紋圓領，平切下襬。標準剪裁，打造舒適經典線條。,棉 100%,image/hm/man/87.jpg
DryMove™健美合身剪裁運動上衣,NT$699,橘色,運動慢跑褲，汗衫布料，柔軟刷毛內裡。中腰剪裁，覆面鬆緊帶腰圍配隱形抽繩，側縫處有口袋，收窄褲管，羅紋褲腳。,"棉 66%, 聚酯纖維 34%",image/hm/man/88.jpg
合身運動長褲,NT$599,深灰米色,嫘縈襯衫，標準剪裁，翻領，經典前襟設計，背面有肩襠。長袖袖口配鈕扣，袖衩配單顆鈕扣，圓邊下襬。,嫘縈 100%,image/hm/man/89.jpg
輕薄鋪棉外套,"NT$1,299",黑色,羅紋針織帽，有寬反折帽邊。,"聚酯纖維 55%, 聚丙烯腈纖維 45%",image/hm/man/90.jpg
貼身輕薄鋪棉背心,NT$999,米色,汗衫布料慢跑褲，柔軟刷毛內裡，貼身剪裁，鬆緊帶腰圍配隱形抽繩，假門襟，有側袋。,"棉 60%, 聚酯纖維 40%",image/hm/man/91.jpg
標準剪裁起絨襯衫,NT$999,黑色/白色,連帽上衣，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。寬鬆剪裁，交疊式連衣帽有內裡，垂肩長袖，有袋鼠袋，羅紋袖口和下襬。,棉 100%,image/hm/man/92.jpg
針織帽,NT$299,深咖啡色,運動衫，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。寬鬆剪裁，垂肩長袖，有一個拉鍊式袖袋，羅紋圓領、袖口和下襬。,棉 100%,image/hm/man/93.jpg
貼花棒球帽,NT$449,深藍色/米色,有領橄欖球衫，柔軟棉質平紋布料，標準剪裁，隱形鈕扣半開襟，長袖有羅紋袖口，下襬兩側開小衩。,棉 100%,image/hm/man/94.jpg
寬鬆牛仔褲,"NT$1,499",淺丹寧藍,Shoes with lacing and a moccasin seam at the front. Cotton canvas linings and insoles and rubber soles that are patterned underneath. Heel 1.5 cm.,棉 100%,image/hm/man/95.jpg
標準剪裁法蘭絨襯衫,NT$799,綠色/格紋,長袖Polo衫，華夫格棉質混紡平紋布料，貼身剪裁，鈕扣半開襟，平切下襬，兩側開小衩。,"棉 53%, 聚酯纖維 47%",image/hm/man/96.jpg
窄管牛仔褲,"NT$1,499",丹寧藍,"Sports T-shirt in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a narrow trim around the neckline and a print motif on the front.",聚酯纖維 100%,image/hm/man/97.jpg
標準剪裁圓高領上衣,NT$599,米色,運動T恤，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。休閒剪裁，羅紋領口，微垂肩設計，下襬兩側開小衩，後襬略長。,"聚酯纖維 73%, 萊賽爾 20%, 彈性纖維 7%",image/hm/man/98.jpg
輕薄鋪棉外套,"NT$1,299",海軍藍,柔軟毛圈紗針織套衫，標準剪裁，垂肩長袖，羅紋圓領、袖口和下襬。,"聚丙烯腈纖維 80%, 聚酯纖維 20%",image/hm/man/99.jpg
貼身牛仔褲,"NT$1,499",丹寧藍,運動短褲，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。合身剪裁，鬆緊帶腰圍有抽繩和繩扣，有斜側袋、隱形魔鬼粘式翻蓋褲管袋。採四面彈性織法，可提供極佳舒適感，增加靈活度。,"聚酯纖維 88%, 彈性纖維 12%",image/hm/man/100.jpg
DryMove™網布運動短褲,NT$999,黑色,彈性運動短褲，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。貼身剪裁，鬆緊帶腰圍，防磨平鎖式縫線可增加舒適度和靈活度。,"聚酯纖維 91%, 彈性纖維 9%",image/hm/man/101.jpg
