名稱,價格,顏色,成分,描述,路徑
5件入細肩帶上衣,NT$799,深灰色/淺藍色,細肩帶上衣，柔軟平紋布料，合身剪裁，V領。,"棉 95%, 彈性纖維 5%",image/hm/woman/26.jpg
加大碼T恤,NT$349,黑色,加大碼T恤，柔軟棉質平紋布料，羅紋領口，低垂肩設計。,棉 100%,image/hm/woman/27.jpg
90s Baggy High Jeans,NT$999,黑色,"5-pocket jeans in rigid cotton denim that feels firm at first but then softens and loosens with wear. Straight leg with a loose fit from the waist to the hip and a baggy fit from the thigh to the hem. High waist with a zip fly and button. Longer length, designed to fall over the foot with a stacking effect. A relaxed and cool denim statement.",聚酯纖維 100%,image/hm/woman/28.jpg
套衫,NT$399,黑色,柔軟針織套衫，低垂肩長袖，羅紋圓領、袖口和下襬。,聚丙烯腈纖維 100%,image/hm/woman/29.jpg
丹寧工作褲,NT$999,淺丹寧藍,丹寧工作褲，高腰寬鬆剪裁，拉鍊門襟配鈕扣，有斜前袋和後袋，直筒褲管有風琴袋和接縫設計。,棉 100%,image/hm/woman/30.jpg
Tie-neck chiffon blouse,NT$699,黑色,"Oversized blouse in sheer, crinkled chiffon with concealed buttons down the front. Stand-up collar with wide ties at the front and long, voluminous raglan sleeves with narrow elastication and a flounce at the cuffs. Overlocked edges at the cuffs and hem. Unlined.",聚酯纖維 100%,image/hm/woman/31.jpg
2件入背心上衣,NT$399,白色/黑色,背心上衣，棉質平紋布料，低圓領，平切下襬。,"棉 95%, 彈性纖維 5%",image/hm/woman/32.jpg
蕾絲無墊鋼圈胸罩,NT$599,淺灰色,蕾絲無墊鋼圈胸罩，可調式肩帶，罩杯有網紗內裡，可塑造自然胸形，提供輕度支撐。背扣有鉤扣。,"聚醯胺纖維 88%, 彈性纖維 12%",image/hm/woman/33.jpg
絨布長褲,NT$699,深咖啡色,棉質絨布長褲，高腰休閒剪裁，拉鍊門襟配鈕扣，有前袋和後袋，寬直筒褲管。,棉 100%,image/hm/woman/34.jpg
綢緞背心上衣,NT$349,深灰色,綢緞背心上衣，帶柔軟垂墜感，前後開低圓領，寬肩帶，微圓下襬。,"嫘縈 51%, 聚酯纖維 49%",image/hm/woman/35.jpg
棉質混紡運動長褲,NT$499,黑色,運動長褲，柔軟棉質混紡汗衫布料，高腰剪裁，覆面鬆緊帶腰圍配抽繩，有側袋，褲腳有覆面鬆緊帶。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/woman/36.jpg
帆布工作褲,NT$699,卡其綠,"Oversized, calf-length, single-breasted trenchcoat in woven fabric with notch lapels, buttons at the front and a storm flap at the back. Shoulder tabs and a tab at the cuffs with a button, a detachable tie-belt at the waist, pockets in the side seams and a single back vent. Lined.",聚酯纖維 100%,image/hm/woman/37.jpg
精織套衫,NT$799,黑色,精織開襟衫，柔軟嫘縈混紡布料，正面鈕扣開襟，羅紋領口、袖口和下襬。,"嫘縈 70%, 聚醯胺纖維 30%",image/hm/woman/38.jpg
Thong 2件入蕾絲內褲,NT$449,黑色,羅紋針織中長版洋裝，合身剪裁，正面開寬領口，後領低開，微喇叭長袖，前襬開單衩。,"聚酯纖維 50%, 聚醯胺纖維 27%, 嫘縈 23%",image/hm/woman/39.jpg
圓高領上衣,NT$499,黑色,柔軟絞花針織裙，長度及踝，合身剪裁，羅紋覆面鬆緊帶腰圍。,"聚酯纖維 60%, 聚丙烯腈纖維 34%, 羊毛 6%",image/hm/woman/40.jpg
Wide Ultra High Jeans,NT$999,丹寧藍,5袋式水洗棉質丹寧牛仔褲，高腰剪裁，拉鍊門襟配鈕扣，寬直筒褲管。,"棉 99%, 彈性纖維 1%",image/hm/woman/41.jpg
2件入棉質上衣,NT$599,黑色/白色,5袋式棉質丹寧牛仔褲，微彈性布料，讓穿著倍添舒適。小喇叭褲管，腰部至大腿為貼身設計，膝部以下喇叭剪裁。高腰剪裁，拉鍊門襟配鈕扣。標準褲長蓋過腳踝，褲腳不疊皺拖地。四季不敗的時尚單品。,"棉 99%, 彈性纖維 1%",image/hm/woman/42.jpg
羅紋上衣,NT$349,淺米色,加大碼外套，衣領、袖口、下襬和內裡皆為柔軟泰迪熊布料。大衣領有可調式扣帶，寬翻領。正面斜拉鍊開襟，長袖款式，有嵌線斜前袋。,聚酯纖維 100%,image/hm/woman/43.jpg
針織帽,NT$299,白色,"Oversized, double-breasted twill blazer with peak lapels and buttons at the front. Buttoned cuffs and jetted front pockets. Lined.",聚酯纖維 100%,image/hm/woman/44.jpg
長袖上衣,NT$299,黑色,柔軟羅紋針織短洋裝，加大碼剪裁，立領，上部有拉鍊，長袖款式。,"聚酯纖維 77%, 聚丙烯腈纖維 20%, 彈性纖維 3%",image/hm/woman/45.jpg
寬管褲,"NT$1,299",黑色,加大碼T恤，柔軟棉質平紋布料，羅紋領口，低垂肩設計。,棉 100%,image/hm/woman/46.jpg
高腰慢跑褲,NT$599,黑色,"Loose-fit, single-breasted blazer with notch lapels, buttons at the front, welt front pockets and a single back vent. Lined.",聚氨酯 100%,image/hm/woman/47.jpg
棉質平紋上衣,NT$149,淺粉紅色,柔軟棉質絨布長褲，中腰寬鬆剪裁，覆面鬆緊帶腰圍配抽繩，有斜側袋和一個翻蓋式後袋。直筒褲管，膝部兩側有抓褶，可增加寬鬆度。褲腳有抽繩。,棉 100%,image/hm/woman/48.jpg
綢緞裙,NT$799,黑色,羅紋平紋T恤，柔軟棉質莫代爾纖維布料，合身剪裁，領口有窄飾邊，平切下襬。,"棉 48%, 莫代爾纖維 47%, 彈性纖維 5%",image/hm/woman/49.jpg
方形剪裁T恤,NT$299,白色,修身長褲，平織布料，高腰寬鬆剪裁，拉鍊門襟配隱形鈕扣和鉤扣，背面有覆面鬆緊帶。有斜側袋和嵌線後袋。收窄褲管上部有抓褶，前後有褶線。,"聚酯纖維 77%, 嫘縈 18%, 彈性纖維 5%",image/hm/woman/50.jpg
Thong 5件入棉質內褲,NT$399,白色/黑色,None,"聚酯纖維 77%, 嫘縈 18%, 彈性纖維 5%",image/hm/woman/51.jpg
羅紋莫代爾混紡T恤,NT$299,黑色,None,"聚酯纖維 77%, 嫘縈 18%, 彈性纖維 5%",image/hm/woman/52.jpg
羅紋針織保暖襪套,NT$349,白色,內搭褲，柔軟平紋布料，腰部拼接寬布段，讓腹部穿著更服貼。,"棉 50%, 嫘縈 45%, 彈性纖維 5%",image/hm/woman/53.jpg
棉質平紋內搭褲,NT$299,黑色,柔軟羅紋針織上衣，合身剪裁，長袖款式，桃心領，前胸鎖眼開口飾塑膠珍珠。,"嫘縈 70%, 聚醯胺纖維 30%",image/hm/woman/54.jpg
短版平紋上衣,NT$299,黑色,長袖圓高領上衣，棉質羅紋平紋布料。,"棉 95%, 彈性纖維 5%",image/hm/woman/55.jpg
高腰內搭褲,NT$349,黑色,短袖哺乳上衣，柔軟棉質平紋布料，獨特哺乳設計。雙層設計方便哺乳，同時有助於保暖。孕期和產後哺乳皆適用。,"棉 95%, 彈性纖維 5%",image/hm/woman/56.jpg
拉鍊連帽外套,NT$599,黑色,中長版洋裝，柔軟羅紋針織布料，合身剪裁，低圓領，胸前有全成型設計。加長拼接袖，袖口開單衩。,"聚酯纖維 55%, 嫘縈 23%, 聚醯胺纖維 22%",image/hm/woman/57.jpg
10件入內褲,NT$599,黑色,棉質斜紋長褲，高腰剪裁，拉鍊門襟配鈕扣，有前袋和後袋，寬直筒褲管。,"棉 98%, 彈性纖維 2%",image/hm/woman/58.jpg
運動洋裝,NT$599,黑色,蕾絲超托高胸罩，可調式肩帶，厚墊鋼圈罩杯，可打造極致豐盈胸形及迷人深溝。背扣有鉤扣。,"聚醯胺纖維 88%, 彈性纖維 12%",image/hm/woman/59.jpg
MAMA 3件入哺乳背心上衣,"NT$1,299",黑色/白色/混灰色,平織布料長褲，中腰剪裁，拉鍊門襟配隱形鉤扣，有斜側袋和假嵌線後袋，貼身褲管正面有內縫褶線。,"聚酯纖維 76%, 嫘縈 18%, 彈性纖維 6%",image/hm/woman/60.jpg
MAMA 修身長褲,"NT$1,299",黑色,綢緞襯衫，帶柔軟垂墜感，正面鈕扣開襟，微垂肩長袖，袖口有單衩和鈕扣。圓邊下襬。,聚酯纖維 100%,image/hm/woman/61.jpg
喀什米爾羊毛圓高領洋裝,"NT$6,999",黑色,細肩帶上衣，柔軟平紋布料，合身剪裁，V領。,"棉 95%, 彈性纖維 5%",image/hm/woman/62.jpg
MAMA Before & After 2-pack nursing tops,NT$999,黑色/白色,加大碼T恤，柔軟棉質平紋布料，羅紋領口，低垂肩設計。,棉 100%,image/hm/woman/63.jpg
購物袋,NT$799,黑色,"5-pocket jeans in rigid cotton denim that feels firm at first but then softens and loosens with wear. Straight leg with a loose fit from the waist to the hip and a baggy fit from the thigh to the hem. High waist with a zip fly and button. Longer length, designed to fall over the foot with a stacking effect. A relaxed and cool denim statement.",聚酯纖維 100%,image/hm/woman/64.jpg
羊毛貝雷帽,NT$399,黑色,柔軟針織套衫，低垂肩長袖，羅紋圓領、袖口和下襬。,聚丙烯腈纖維 100%,image/hm/woman/65.jpg
煙管褲,NT$699,深藍色/細條紋,丹寧工作褲，高腰寬鬆剪裁，拉鍊門襟配鈕扣，有斜前袋和後袋，直筒褲管有風琴袋和接縫設計。,棉 100%,image/hm/woman/66.jpg
MAMA 羅紋哺乳上衣,NT$699,黑色,"Oversized blouse in sheer, crinkled chiffon with concealed buttons down the front. Stand-up collar with wide ties at the front and long, voluminous raglan sleeves with narrow elastication and a flounce at the cuffs. Overlocked edges at the cuffs and hem. Unlined.",聚酯纖維 100%,image/hm/woman/67.jpg
Turtleneck dress,"NT$1,499",天然白色,背心上衣，棉質平紋布料，低圓領，平切下襬。,"棉 95%, 彈性纖維 5%",image/hm/woman/68.jpg
MAMA 無痕內搭褲,NT$799,黑色,蕾絲無墊鋼圈胸罩，可調式肩帶，罩杯有網紗內裡，可塑造自然胸形，提供輕度支撐。背扣有鉤扣。,"聚醯胺纖維 88%, 彈性纖維 12%",image/hm/woman/69.jpg
MAMA 超窄管牛仔褲,"NT$1,299",黑色,棉質絨布長褲，高腰休閒剪裁，拉鍊門襟配鈕扣，有前袋和後袋，寬直筒褲管。,棉 100%,image/hm/woman/70.jpg
羅紋圓高領上衣,NT$399,淺米色,綢緞背心上衣，帶柔軟垂墜感，前後開低圓領，寬肩帶，微圓下襬。,"嫘縈 51%, 聚酯纖維 49%",image/hm/woman/71.jpg
2雙入螢幕觸控手套,NT$199,黑色/米色,運動長褲，柔軟棉質混紡汗衫布料，高腰剪裁，覆面鬆緊帶腰圍配抽繩，有側袋，褲腳有覆面鬆緊帶。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/woman/72.jpg
亮片襯裙,"NT$1,299",銀色,棉質帆布工作褲，低腰休閒剪裁，腰部兩側和腰後有覆面鬆緊帶，拉鍊門襟配按扣，有斜側袋。直筒褲管各有一個翻蓋袋，一邊褲管多一個口袋。,棉 100%,image/hm/woman/73.jpg
高領針織洋裝,NT$999,白色,柔軟精織套衫，長袖袖口開單衩，羅紋圓領、袖口和下襬。,"聚酯纖維 57%, 聚丙烯腈纖維 20%, 聚醯胺纖維 18%, 羊毛 5%",image/hm/woman/74.jpg
針織露肩洋裝,"NT$1,299",混米色,蕾絲丁字褲，低腰剪裁，褲襠有內裡。,棉 100%,image/hm/woman/75.jpg
拉鍊開襟衫,NT$999,白色,柔軟平紋上衣，圓高領，長袖款式，平切下襬。,"聚醯胺纖維 90%, 金屬塗層纖維 10%",image/hm/woman/76.jpg
雙排扣大衣,"NT$2,499",黑色,"5-pocket jeans in rigid cotton denim that feels firm at first but then softens and loosens with wear. Wide leg with a regular fit from the waist to the hip and a straight, wide cut from the thigh to the hem. Extra-high waist with a zip fly and button. Regular length, designed to hit the top of the foot with little or no stacking. A denim statement that goes the distance.",棉 100%,image/hm/woman/77.jpg
圓高領羅紋針織套衫,NT$799,鼠尾草綠,短版圓領上衣，柔軟棉質平紋布料，合身剪裁，長袖款式。,"棉 95%, 彈性纖維 5%",image/hm/woman/78.jpg
羅紋針織套衫,NT$699,淺藍色,短版上衣，棉質羅紋平紋布料，合身剪裁，圓領，長袖款式，平切下襬。,"棉 95%, 彈性纖維 5%",image/hm/woman/79.jpg
斜肩曲線洋裝,NT$799,黑色,柔軟針織帽，反折帽邊正面有布質小貼花。,"聚酯纖維 53%, 聚丙烯腈纖維 47%",image/hm/woman/80.jpg
兩面穿外套,"NT$2,499",米色,長袖上衣，平紋布料，合身剪裁，圓領有窄飾邊，平切下襬。,"聚酯纖維 65%, 嫘縈 35%",image/hm/woman/81.jpg
高領羅紋針織洋裝,NT$799,米色,修身寬管褲，平織布料，高腰寬鬆剪裁。隱形鬆緊帶腰圍，拉鍊門襟，有斜側袋和假嵌線後袋，直筒褲管正面有抓褶。,聚酯纖維 100%,image/hm/woman/82.jpg
絞花針織套衫,NT$999,奶油色,慢跑褲，柔軟汗衫布料，高腰剪裁，縮褶鬆緊帶腰圍配抽繩，有側袋，褲管略收窄，褲腳有縮褶鬆緊帶。,"棉 59%, 聚酯纖維 41%",image/hm/woman/83.jpg
高領羅紋針織套衫,NT$999,淺米色,短版上衣，柔軟棉質平紋布料，合身剪裁，低領口，短袖款式，平切下襬。,"棉 95%, 彈性纖維 5%",image/hm/woman/84.jpg
Oversized blazer,"NT$1,999",灰色/人字紋,綢緞中長裙，帶柔軟垂墜感，合身剪裁，一側有隱形拉鍊和單顆鈕扣，平切裙襬。,聚酯纖維 100%,image/hm/woman/85.jpg
紋理感平紋洋裝,NT$799,淺米色,T恤，柔軟棉質平紋布料，方形剪裁，羅紋圓領，垂肩寬鬆五分袖。,棉 100%,image/hm/woman/86.jpg
綁帶大衣,"NT$2,499",米色,棉質平紋丁字褲，中腰剪裁，褲襠有內裡。,"棉 95%, 彈性纖維 5%",image/hm/woman/87.jpg
拉鍊泰迪熊外套,"NT$1,799",黑色,羅紋平紋T恤，柔軟棉質莫代爾纖維布料，合身剪裁，領口有窄飾邊，平切下襬。,"棉 48%, 莫代爾纖維 47%, 彈性纖維 5%",image/hm/woman/88.jpg
鋪棉外套,"NT$1,499",黑色,柔軟羅紋針織保暖襪套，上下緣有寬邊羅紋。,聚酯纖維 100%,image/hm/woman/89.jpg
Double-breasted blazer,"NT$1,799",淺米色,內搭褲，柔軟棉質平紋布料，高腰剪裁，覆面鬆緊帶腰圍。,"棉 95%, 彈性纖維 5%",image/hm/woman/90.jpg
Double-breasted blazer dress,"NT$1,499",黑色,短版圓領上衣，柔軟棉質平紋布料，長袖款式。,"棉 95%, 彈性纖維 5%",image/hm/woman/91.jpg
針織露肩洋裝,"NT$1,299",黑色,內搭褲，柔軟平紋布料，高腰剪裁，寬鬆緊帶腰圍。,"棉 95%, 彈性纖維 5%",image/hm/woman/92.jpg
羊毛混紡外套,"NT$1,799",混米色,長袖連帽外套，柔軟棉質混紡汗衫布料，連衣帽有內裡和抽繩，正面拉鍊開襟，有前袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/woman/93.jpg
印花女衫,NT$499,黑色/米色印花,柔軟棉質平紋內褲，中腰剪裁，褲襠有內裡，背面有半包臀效果。,"棉 95%, 彈性纖維 5%",image/hm/woman/94.jpg
亮片洋裝,"NT$1,999",黑色,短洋裝，棉質混紡汗衫布料，休閒剪裁，垂肩長袖，羅紋領口、袖口和裙襬。,"棉 58%, 聚酯纖維 42%",image/hm/woman/95.jpg
長版鋪棉外套,"NT$1,999",灰色,哺乳背心上衣，柔軟棉質平紋布料，可調式細肩帶。柔軟底衫有鬆緊帶下緣和機能扣，方便哺乳。,"棉 94%, 彈性纖維 3%, 嫘縈 3%",image/hm/woman/96.jpg
Teddy jacket,"NT$1,999",淺米色,長褲，棉質混紡平織布料，高腰剪裁，腰後有覆面鬆緊帶，假門襟，有斜側袋和假嵌線後袋，收窄褲管有褶線。腰部拼接羅紋寬布段，讓腹部穿著更服貼。,"棉 53%, 聚酯纖維 44%, 彈性纖維 3%",image/hm/woman/97.jpg
紋理感平紋洋裝,NT$799,淺米色,精織中長版洋裝，柔軟喀什米爾羊毛布料，休閒剪裁，低垂肩加長衣袖。平切裙襬，兩側開衩。羅紋圓高領、袖口和裙襬。,喀什米爾羊毛 100%,image/hm/woman/98.jpg
羅紋上衣,NT$349,深灰色,Soft jersey nursing tops in a classic T-shirt style with a double layer at the front and a practical inner top for easier nursing access. Round neckline and dropped shoulders.,棉 100%,image/hm/woman/99.jpg
綁帶大衣,"NT$1,999",深灰色,仿皮購物包，雙提把，包口有磁扣，有一個拉鍊式內夾層。無內裡。長40公分，高40公分，寬13公分。,聚酯纖維 100%,image/hm/woman/100.jpg
工作褲,NT$999,白色,羊毛經典貝雷帽。,"羊毛 95%, 聚醯胺纖維 5%",image/hm/woman/101.jpg
Oversized double-breasted blazer,"NT$1,799",奶油色,九分煙管褲，彈性平織布料，中腰剪裁，隱形鬆緊帶腰圍，拉鍊門襟配隱形鉤扣，有側袋和假後袋，褲管收窄。,聚酯纖維 100%,image/hm/woman/102.jpg
連帽上衣,NT$599,灰藍色,長袖哺乳上衣，棉質羅紋平紋布料，圓領。上部雙層設計，內襯實用底衫，方便哺乳。,"棉 95%, 彈性纖維 5%",image/hm/woman/103.jpg
Bouclé-knit dress,"NT$1,499",奶油色,"Fitted dress in a rib knit containing some wool with a turtle neck, dropped shoulders, long sleeves and a straight hem.","聚酯纖維 54%, 聚丙烯腈纖維 41%, 羊毛 5%",image/hm/woman/104.jpg
水鑽洋裝,"NT$1,999",黑色,極細纖維內搭褲，特殊設計可減少接縫，增加舒適度和靈活度。高腰剪裁，覆面鬆緊帶腰圍拼接羅紋布段，讓腹部穿著更服貼。,"聚醯胺纖維 92%, 彈性纖維 8%",image/hm/woman/105.jpg
加大碼拉鍊套衫,NT$799,深灰色,水洗彈性丹寧牛仔褲，有假前袋和真後袋，超緊身褲管，高腰剪裁，腰後為丹寧布料，腰部正面拼接平紋寬布段，讓腹部穿著更服貼。,"棉 95%, 彈性纖維 5%",image/hm/woman/106.jpg
Aviator jacket,"NT$2,499",黑色,長袖圓高領上衣，棉質羅紋平紋布料。,"棉 95%, 彈性纖維 5%",image/hm/woman/107.jpg
立領洋裝,NT$599,黑色,柔軟精織手套，羅紋套口。拇指和食指指尖採用特殊材質，可使用觸控螢幕。,"聚丙烯腈纖維 90%, 聚醯胺纖維 5%, 羊毛 2%, 彈性纖維 2%, 聚酯纖維 1%",image/hm/woman/108.jpg
