名稱,價格,顏色,成分,描述,路徑,description
MAMA 2件入平紋內搭褲,NT$699,黑色,內搭褲，柔軟平紋布料，腰部拼接寬布段，讓腹部穿著更服貼。,"棉 50%, 嫘縈 45%, 彈性纖維 5%",image/hm/woman/17.jpg,風格: 簡約時尚，場合: 居家或睡眠，圖案描述: 純色黑色，結構設計為內褲褲型，使用柔軟的針織布製成，並帶有寬腰帶設計，使腹部更加舒適。
珠飾上衣,NT$799,黑色,柔軟羅紋針織上衣，合身剪裁，長袖款式，桃心領，前胸鎖眼開口飾塑膠珍珠。,"嫘縈 70%, 聚醯胺纖維 30%",image/hm/woman/18.jpg,"風格: 古典瑰麗, 合適的場合: 晚宴或派對, 圖案描述: 採用柔和的緹花針織，亮眼的心形領口，搭配飾有塑料珍珠的前胸和袖口。"
羅紋圓高領上衣,NT$399,黑色,長袖圓高領上衣，棉質羅紋平紋布料。,"棉 95%, 彈性纖維 5%",image/hm/woman/19.jpg,風格:時尚簡約;場合:日常休閒;圖案:純色針織細紋。
MAMA 2件入產前/產後哺乳上衣,NT$999,黑色/奶油色,短袖哺乳上衣，柔軟棉質平紋布料，獨特哺乳設計。雙層設計方便哺乳，同時有助於保暖。孕期和產後哺乳皆適用。,"棉 95%, 彈性纖維 5%",image/hm/woman/20.jpg,風格:孕哺期專用;場合:孕期及哺乳期;圖案:以黑色和奶油色為主、短袖設計、柔軟的純棉針織面料、獨特的哺乳設計、雙層設計方便哺乳並能保暖。
羅紋針織曲線洋裝,NT$799,混黑色,中長版洋裝，柔軟羅紋針織布料，合身剪裁，低圓領，胸前有全成型設計。加長拼接袖，袖口開單衩。,"聚酯纖維 55%, 嫘縈 23%, 聚醯胺纖維 22%",image/hm/woman/21.jpg,"風格: 高級優雅, 合適的場合: 晚宴活動, 圖案描述: 圖案以條紋針織布為主，胸部有一個完全塑形的設計，配有延長剪接的袖子，袖口有縫隙。"
斜紋寬管褲,NT$699,黑色,棉質斜紋長褲，高腰剪裁，拉鍊門襟配鈕扣，有前袋和後袋，寬直筒褲管。,"棉 98%, 彈性纖維 2%",image/hm/woman/22.jpg,"風格: 簡約時尚, 合適的場合: 日常休闲, 圖案描述: 無圖案, 純黑色寬闊直筒褲設計，有前後口袋、高腰以及拉鍊和扣子。"
蕾絲超托高胸罩,NT$799,黑色,蕾絲超托高胸罩，可調式肩帶，厚墊鋼圈罩杯，可打造極致豐盈胸形及迷人深溝。背扣有鉤扣。,"聚醯胺纖維 88%, 彈性纖維 12%",image/hm/woman/23.jpg,風格: 性感黑色蕾絲內衣；合適的場合: 浪漫約會或特殊夜晚；圖案描述: 搭配調整性肩帶與厚墊鋼圈的高罩杯，背部具有鉤扣與粘扣的固定設計，擁有最棒的胸型支撐與深邃的溝槽，由88%尼龍與12%彈性纖維組
褶線長褲,NT$999,米色,平織布料長褲，中腰剪裁，拉鍊門襟配隱形鉤扣，有斜側袋和假嵌線後袋，貼身褲管正面有內縫褶線。,"聚酯纖維 76%, 嫘縈 18%, 彈性纖維 6%",image/hm/woman/24.jpg,"風格:現代休閒, 合適的場合:辦公室或正式聚會, 衣服上的圖案描述:無圖案，以映襯出剪裁設計的含蓄奢華，具有隱藏式釦子和鉤子扣閉，備有斜邊口袋和偽貼花口袋，褲腳前方有內摺設計。"
綢緞襯衫,NT$799,白色,綢緞襯衫，帶柔軟垂墜感，正面鈕扣開襟，微垂肩長袖，袖口有單衩和鈕扣。圓邊下襬。,聚酯纖維 100%,image/hm/woman/25.jpg,風格：優雅時尚，合適的場合：商務或正式活動，衣服上的圖案描述：無圖案，但具有獨特的柔垂質感和細膩的按鈕細節。
5件入細肩帶上衣,NT$799,深灰色/淺藍色,細肩帶上衣，柔軟平紋布料，合身剪裁，V領。,"棉 95%, 彈性纖維 5%",image/hm/woman/26.jpg,風格: 簡約時尚，場合: 休閒日常，圖案: 純色設計，無任何圖案或印花細節。
加大碼T恤,NT$349,黑色,加大碼T恤，柔軟棉質平紋布料，羅紋領口，低垂肩設計。,棉 100%,image/hm/woman/27.jpg,風格: 大尺碼休閒T恤; 合適的場合: 休閒日常/健身房; 衣服上的圖案描述: 純色黑色，無任何圖案或印花。
90s Baggy High Jeans,NT$999,黑色,"5-pocket jeans in rigid cotton denim that feels firm at first but then softens and loosens with wear. Straight leg with a loose fit from the waist to the hip and a baggy fit from the thigh to the hem. High waist with a zip fly and button. Longer length, designed to fall over the foot with a stacking effect. A relaxed and cool denim statement.",聚酯纖維 100%,image/hm/woman/28.jpg,風格：90年代風寬鬆高腰牛仔褲；合適的場合：休閒舒適的日常外出；衣服上的圖案描述：整體以簡潔的全黑色塊為主，沒有額外增添的圖案或印花，提供一種不加修飾的自然美感。
套衫,NT$399,黑色,柔軟針織套衫，低垂肩長袖，羅紋圓領、袖口和下襬。,聚丙烯腈纖維 100%,image/hm/woman/29.jpg,"風格: 黑色長袖寬肩針織衫。合適的場合: 休閒或日常穿著。衣服上的圖案描述: 該衣服無任何圖案，只有紋理為柔和的針織纹理, 並帶有織邊圓領、袖口及下擺。"
丹寧工作褲,NT$999,淺丹寧藍,丹寧工作褲，高腰寬鬆剪裁，拉鍊門襟配鈕扣，有斜前袋和後袋，直筒褲管有風琴袋和接縫設計。,棉 100%,image/hm/woman/30.jpg,"風格: 高腰寬鬆牛仔風
適合場合: 休閒日常 
圖案描述: 無圖樣純色淺丹寧藍，有斜口袋及直縫，以及裝飾性有機口袋。"
Tie-neck chiffon blouse,NT$699,黑色,"Oversized blouse in sheer, crinkled chiffon with concealed buttons down the front. Stand-up collar with wide ties at the front and long, voluminous raglan sleeves with narrow elastication and a flounce at the cuffs. Overlocked edges at the cuffs and hem. Unlined.",聚酯纖維 100%,image/hm/woman/31.jpg,"風格: 高雅時尚, 合適的場合: 高級晚宴, 衣服上的圖案描述: 無圖案,純黑色,長袖,領口具有寬闊的繫帶,具有透視效果。"
2件入背心上衣,NT$399,白色/黑色,背心上衣，棉質平紋布料，低圓領，平切下襬。,"棉 95%, 彈性纖維 5%",image/hm/woman/32.jpg,風格:休閒運動風，合適的場合:日常穿著或健身運動，衣服上的圖案描述:白色及黑色無圖案純色背心。
蕾絲無墊鋼圈胸罩,NT$599,淺灰色,蕾絲無墊鋼圈胸罩，可調式肩帶，罩杯有網紗內裡，可塑造自然胸形，提供輕度支撐。背扣有鉤扣。,"聚醯胺纖維 88%, 彈性纖維 12%",image/hm/woman/33.jpg,"風格: 輕柔浪漫, 合適場合: 日常穿著, 圖案描述: 這款淺灰色的無墊鋼圈內衣,使用蕾絲與網狀內裡設計,自然展現胸部曲線.背部設有鉤環."
絨布長褲,NT$699,深咖啡色,棉質絨布長褲，高腰休閒剪裁，拉鍊門襟配鈕扣，有前袋和後袋，寬直筒褲管。,棉 100%,image/hm/woman/34.jpg,風格: 高腰休閒; 合適場合: 隨意出遊; 圖案: 純棕色無圖案。
綢緞背心上衣,NT$349,深灰色,綢緞背心上衣，帶柔軟垂墜感，前後開低圓領，寬肩帶，微圓下襬。,"嫘縈 51%, 聚酯纖維 49%",image/hm/woman/35.jpg,風格:現代休閒 適合場合:晚間出遊 圖案描述:無圖案，單色深灰色絨面背心上衣
棉質混紡運動長褲,NT$499,黑色,運動長褲，柔軟棉質混紡汗衫布料，高腰剪裁，覆面鬆緊帶腰圍配抽繩，有側袋，褲腳有覆面鬆緊帶。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/woman/36.jpg,"風格:運動休閒, 合適的場合:健身房或日常休閒, 圖案描述:全黑色高腰棉混紡運動褲，腰部有一個帶抽繩的彈性覆層，側面有口袋，腿部有彈性覆層。內裡柔軟的刷毛面料。"
帆布工作褲,NT$699,卡其綠,"Oversized, calf-length, single-breasted trenchcoat in woven fabric with notch lapels, buttons at the front and a storm flap at the back. Shoulder tabs and a tab at the cuffs with a button, a detachable tie-belt at the waist, pockets in the side seams and a single back vent. Lined.",聚酯纖維 100%,image/hm/woman/37.jpg,風格: 休閒軍裝風；場合: 戶外活動或上班；圖案: 無特殊圖案，主要為單一的卡其綠色，有大腔口翻領和單排扣風衣款。配有肩膀上的插片和束腰帶，此外還有側縫口袋和後側的風擋。整件衣物都有內襯。
精織套衫,NT$799,黑色,精織開襟衫，柔軟嫘縈混紡布料，正面鈕扣開襟，羅紋領口、袖口和下襬。,"嫘縈 70%, 聚醯胺纖維 30%",image/hm/woman/38.jpg,"風格: 優雅黑色針織衫, 合適場合: 都會休閒風格, 圖案描述: 無圖案，具有細緻的織紋，前面有按鈕，且頸線、袖口和下擺為緊身線狀設計。"
Thong 2件入蕾絲內褲,NT$449,黑色,羅紋針織中長版洋裝，合身剪裁，正面開寬領口，後領低開，微喇叭長袖，前襬開單衩。,"聚酯纖維 50%, 聚醯胺纖維 27%, 嫘縈 23%",image/hm/woman/39.jpg,風格: 優雅黑色蕾絲; 合適的場合: 浪漫晚餐或者宴會; 圖案描述: 可能沒有圖案，由於描述並未提及。
圓高領上衣,NT$499,黑色,柔軟絞花針織裙，長度及踝，合身剪裁，羅紋覆面鬆緊帶腰圍。,"聚酯纖維 60%, 聚丙烯腈纖維 34%, 羊毛 6%",image/hm/woman/40.jpg,"風格: 簡約商務；合適的場合: 辦公室及正式場合；衣服上的圖案描述: 無任何圖案,全黑色。"
Wide Ultra High Jeans,NT$999,丹寧藍,5袋式水洗棉質丹寧牛仔褲，高腰剪裁，拉鍊門襟配鈕扣，寬直筒褲管。,"棉 99%, 彈性纖維 1%",image/hm/woman/41.jpg,"風格: 高腰寬腿牛仔風
合適的場合: 休閑日常出遊
衣服上的圖案描述: 沒有任何圖案，全身以經洗處理的棉質牛仔布為主，並以拉鍊和按鈕作為主要裝飾。"
2件入棉質上衣,NT$599,黑色/白色,5袋式棉質丹寧牛仔褲，微彈性布料，讓穿著倍添舒適。小喇叭褲管，腰部至大腿為貼身設計，膝部以下喇叭剪裁。高腰剪裁，拉鍊門襟配鈕扣。標準褲長蓋過腳踝，褲腳不疊皺拖地。四季不敗的時尚單品。,"棉 99%, 彈性纖維 1%",image/hm/woman/42.jpg,"風格: 簡約型格
場合: 日常休閒
圖案: 黑白無圖案，純色微彈力五口袋高腰牛仔褲，褲管寬鬆，膝下微喇叭，不易折皺。"
羅紋上衣,NT$349,淺米色,加大碼外套，衣領、袖口、下襬和內裡皆為柔軟泰迪熊布料。大衣領有可調式扣帶，寬翻領。正面斜拉鍊開襟，長袖款式，有嵌線斜前袋。,聚酯纖維 100%,image/hm/woman/43.jpg,風格: 輕便舒適，合適的場合: 日常休閒，衣服上的圖案描述: 沒有特殊圖案，但特色在於覆蓋的鬆軟絨毛層，及具設計感的斜拉鍊和寬領口。
針織帽,NT$299,白色,"Oversized, double-breasted twill blazer with peak lapels and buttons at the front. Buttoned cuffs and jetted front pockets. Lined.",聚酯纖維 100%,image/hm/woman/44.jpg,"風格: 大方休閒; 場合: 商務休閒; 圖案: 無圖案,純白色編織帽,雙排扣寬大版型西裝外套。特點是尖翼翻領和前面的按鈕。扣環袖口和開口前口袋。內裡。衣物材質為100%聚酯纖維"
長袖上衣,NT$299,黑色,柔軟羅紋針織短洋裝，加大碼剪裁，立領，上部有拉鍊，長袖款式。,"聚酯纖維 77%, 聚丙烯腈纖維 20%, 彈性纖維 3%",image/hm/woman/45.jpg,"風格: 簡約又時尚
場合: 休閒或晚宴
圖案:全黑色長袖短裙，添加了符合大尺碼的剪裁，立領，頂部帶拉鍊和長袖的設計。"
寬管褲,"NT$1,299",黑色,加大碼T恤，柔軟棉質平紋布料，羅紋領口，低垂肩設計。,棉 100%,image/hm/woman/46.jpg,風格: 寬闊休閒風，合適的場合: 日常休閒穿著，衣服上的圖案描述: 衣服為單色黑色，沒有特殊圖案並且是大尺碼尺寸，質地上使用柔軟的棉質材料，有著帶有肋骨紋的領口和低肩設計，全棉製成。
高腰慢跑褲,NT$599,黑色,"Loose-fit, single-breasted blazer with notch lapels, buttons at the front, welt front pockets and a single back vent. Lined.",聚氨酯 100%,image/hm/woman/47.jpg,"風格: 休閒酷黑風
合適的場合: 商務休閒場合
衣服上的圖案描述: 黑色上衣與高腰休閒長褲的組合，呈現出個性又不失質感的造型。上衣以單排釦設計，加上缺口翻領，展現時尚感。前面的貼式口袋和背面的單片開衩，增加了設計感和"
棉質平紋上衣,NT$149,淺粉紅色,柔軟棉質絨布長褲，中腰寬鬆剪裁，覆面鬆緊帶腰圍配抽繩，有斜側袋和一個翻蓋式後袋。直筒褲管，膝部兩側有抓褶，可增加寬鬆度。褲腳有抽繩。,棉 100%,image/hm/woman/48.jpg,風格: 舒適休閒；場合: 日常穿著；圖案描述: 淺粉色頂部搭配柔軟的棉質絨面褲，中腰寬鬆版型，褲腰有彈性設計並配有抽繩，側邊有斜口袋和背部有翻蓋口袋。褲子直筒設計，膝部側面有皺褶增加寬
綢緞裙,NT$799,黑色,羅紋平紋T恤，柔軟棉質莫代爾纖維布料，合身剪裁，領口有窄飾邊，平切下襬。,"棉 48%, 莫代爾纖維 47%, 彈性纖維 5%",image/hm/woman/49.jpg,"風格: 高雅時尚, 合適的場合: 休閒或日常, 圖案描述: 全黑無圖案,素面設計,以細緻的平口領和彈性針織純棉摸混紡布料製成,展現簡約的風格。"
方形剪裁T恤,NT$299,白色,修身長褲，平織布料，高腰寬鬆剪裁，拉鍊門襟配隱形鈕扣和鉤扣，背面有覆面鬆緊帶。有斜側袋和嵌線後袋。收窄褲管上部有抓褶，前後有褶線。,"聚酯纖維 77%, 嫘縈 18%, 彈性纖維 5%",image/hm/woman/50.jpg,"風格: 高雅輕熟; 合適的場合: 商務休閒; 圖案描述: 衣服以單一白色為主,無任何圖案或裝飾,標誌性的是其鬆緊的高腰設計和隱藏的拉鍊扣子，並有斜插口袋和襯裏的後袋。修長的褲腿上方有摺痕，前後都有線條設"
Thong 5件入棉質內褲,NT$399,白色/黑色,None,"聚酯纖維 77%, 嫘縈 18%, 彈性纖維 5%",image/hm/woman/51.jpg,
羅紋莫代爾混紡T恤,NT$299,黑色,None,"聚酯纖維 77%, 嫘縈 18%, 彈性纖維 5%",image/hm/woman/52.jpg,
羅紋針織保暖襪套,NT$349,白色,內搭褲，柔軟平紋布料，腰部拼接寬布段，讓腹部穿著更服貼。,"棉 50%, 嫘縈 45%, 彈性纖維 5%",image/hm/woman/53.jpg,
棉質平紋內搭褲,NT$299,黑色,柔軟羅紋針織上衣，合身剪裁，長袖款式，桃心領，前胸鎖眼開口飾塑膠珍珠。,"嫘縈 70%, 聚醯胺纖維 30%",image/hm/woman/54.jpg,
短版平紋上衣,NT$299,黑色,長袖圓高領上衣，棉質羅紋平紋布料。,"棉 95%, 彈性纖維 5%",image/hm/woman/55.jpg,
高腰內搭褲,NT$349,黑色,短袖哺乳上衣，柔軟棉質平紋布料，獨特哺乳設計。雙層設計方便哺乳，同時有助於保暖。孕期和產後哺乳皆適用。,"棉 95%, 彈性纖維 5%",image/hm/woman/56.jpg,
拉鍊連帽外套,NT$599,黑色,中長版洋裝，柔軟羅紋針織布料，合身剪裁，低圓領，胸前有全成型設計。加長拼接袖，袖口開單衩。,"聚酯纖維 55%, 嫘縈 23%, 聚醯胺纖維 22%",image/hm/woman/57.jpg,
10件入內褲,NT$599,黑色,棉質斜紋長褲，高腰剪裁，拉鍊門襟配鈕扣，有前袋和後袋，寬直筒褲管。,"棉 98%, 彈性纖維 2%",image/hm/woman/58.jpg,
運動洋裝,NT$599,黑色,蕾絲超托高胸罩，可調式肩帶，厚墊鋼圈罩杯，可打造極致豐盈胸形及迷人深溝。背扣有鉤扣。,"聚醯胺纖維 88%, 彈性纖維 12%",image/hm/woman/59.jpg,
MAMA 3件入哺乳背心上衣,"NT$1,299",黑色/白色/混灰色,平織布料長褲，中腰剪裁，拉鍊門襟配隱形鉤扣，有斜側袋和假嵌線後袋，貼身褲管正面有內縫褶線。,"聚酯纖維 76%, 嫘縈 18%, 彈性纖維 6%",image/hm/woman/60.jpg,
MAMA 修身長褲,"NT$1,299",黑色,綢緞襯衫，帶柔軟垂墜感，正面鈕扣開襟，微垂肩長袖，袖口有單衩和鈕扣。圓邊下襬。,聚酯纖維 100%,image/hm/woman/61.jpg,
喀什米爾羊毛圓高領洋裝,"NT$6,999",黑色,細肩帶上衣，柔軟平紋布料，合身剪裁，V領。,"棉 95%, 彈性纖維 5%",image/hm/woman/62.jpg,
MAMA Before & After 2-pack nursing tops,NT$999,黑色/白色,加大碼T恤，柔軟棉質平紋布料，羅紋領口，低垂肩設計。,棉 100%,image/hm/woman/63.jpg,
購物袋,NT$799,黑色,"5-pocket jeans in rigid cotton denim that feels firm at first but then softens and loosens with wear. Straight leg with a loose fit from the waist to the hip and a baggy fit from the thigh to the hem. High waist with a zip fly and button. Longer length, designed to fall over the foot with a stacking effect. A relaxed and cool denim statement.",聚酯纖維 100%,image/hm/woman/64.jpg,
羊毛貝雷帽,NT$399,黑色,柔軟針織套衫，低垂肩長袖，羅紋圓領、袖口和下襬。,聚丙烯腈纖維 100%,image/hm/woman/65.jpg,
煙管褲,NT$699,深藍色/細條紋,丹寧工作褲，高腰寬鬆剪裁，拉鍊門襟配鈕扣，有斜前袋和後袋，直筒褲管有風琴袋和接縫設計。,棉 100%,image/hm/woman/66.jpg,
MAMA 羅紋哺乳上衣,NT$699,黑色,"Oversized blouse in sheer, crinkled chiffon with concealed buttons down the front. Stand-up collar with wide ties at the front and long, voluminous raglan sleeves with narrow elastication and a flounce at the cuffs. Overlocked edges at the cuffs and hem. Unlined.",聚酯纖維 100%,image/hm/woman/67.jpg,
Turtleneck dress,"NT$1,499",天然白色,背心上衣，棉質平紋布料，低圓領，平切下襬。,"棉 95%, 彈性纖維 5%",image/hm/woman/68.jpg,
MAMA 無痕內搭褲,NT$799,黑色,蕾絲無墊鋼圈胸罩，可調式肩帶，罩杯有網紗內裡，可塑造自然胸形，提供輕度支撐。背扣有鉤扣。,"聚醯胺纖維 88%, 彈性纖維 12%",image/hm/woman/69.jpg,
MAMA 超窄管牛仔褲,"NT$1,299",黑色,棉質絨布長褲，高腰休閒剪裁，拉鍊門襟配鈕扣，有前袋和後袋，寬直筒褲管。,棉 100%,image/hm/woman/70.jpg,
羅紋圓高領上衣,NT$399,淺米色,綢緞背心上衣，帶柔軟垂墜感，前後開低圓領，寬肩帶，微圓下襬。,"嫘縈 51%, 聚酯纖維 49%",image/hm/woman/71.jpg,
2雙入螢幕觸控手套,NT$199,黑色/米色,運動長褲，柔軟棉質混紡汗衫布料，高腰剪裁，覆面鬆緊帶腰圍配抽繩，有側袋，褲腳有覆面鬆緊帶。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/woman/72.jpg,
亮片襯裙,"NT$1,299",銀色,棉質帆布工作褲，低腰休閒剪裁，腰部兩側和腰後有覆面鬆緊帶，拉鍊門襟配按扣，有斜側袋。直筒褲管各有一個翻蓋袋，一邊褲管多一個口袋。,棉 100%,image/hm/woman/73.jpg,
高領針織洋裝,NT$999,白色,柔軟精織套衫，長袖袖口開單衩，羅紋圓領、袖口和下襬。,"聚酯纖維 57%, 聚丙烯腈纖維 20%, 聚醯胺纖維 18%, 羊毛 5%",image/hm/woman/74.jpg,
針織露肩洋裝,"NT$1,299",混米色,蕾絲丁字褲，低腰剪裁，褲襠有內裡。,棉 100%,image/hm/woman/75.jpg,
拉鍊開襟衫,NT$999,白色,柔軟平紋上衣，圓高領，長袖款式，平切下襬。,"聚醯胺纖維 90%, 金屬塗層纖維 10%",image/hm/woman/76.jpg,
雙排扣大衣,"NT$2,499",黑色,"5-pocket jeans in rigid cotton denim that feels firm at first but then softens and loosens with wear. Wide leg with a regular fit from the waist to the hip and a straight, wide cut from the thigh to the hem. Extra-high waist with a zip fly and button. Regular length, designed to hit the top of the foot with little or no stacking. A denim statement that goes the distance.",棉 100%,image/hm/woman/77.jpg,
圓高領羅紋針織套衫,NT$799,鼠尾草綠,短版圓領上衣，柔軟棉質平紋布料，合身剪裁，長袖款式。,"棉 95%, 彈性纖維 5%",image/hm/woman/78.jpg,
羅紋針織套衫,NT$699,淺藍色,短版上衣，棉質羅紋平紋布料，合身剪裁，圓領，長袖款式，平切下襬。,"棉 95%, 彈性纖維 5%",image/hm/woman/79.jpg,
斜肩曲線洋裝,NT$799,黑色,柔軟針織帽，反折帽邊正面有布質小貼花。,"聚酯纖維 53%, 聚丙烯腈纖維 47%",image/hm/woman/80.jpg,
兩面穿外套,"NT$2,499",米色,長袖上衣，平紋布料，合身剪裁，圓領有窄飾邊，平切下襬。,"聚酯纖維 65%, 嫘縈 35%",image/hm/woman/81.jpg,
高領羅紋針織洋裝,NT$799,米色,修身寬管褲，平織布料，高腰寬鬆剪裁。隱形鬆緊帶腰圍，拉鍊門襟，有斜側袋和假嵌線後袋，直筒褲管正面有抓褶。,聚酯纖維 100%,image/hm/woman/82.jpg,
絞花針織套衫,NT$999,奶油色,慢跑褲，柔軟汗衫布料，高腰剪裁，縮褶鬆緊帶腰圍配抽繩，有側袋，褲管略收窄，褲腳有縮褶鬆緊帶。,"棉 59%, 聚酯纖維 41%",image/hm/woman/83.jpg,
