名稱,價格,顏色,成分,描述,路徑,description
標準剪裁提花針織套衫,"NT$1,799",深咖啡色/印花,柔軟提花針織套衫，含羊駝毛，標準剪裁，長拼接袖，羅紋領口、袖口和下襬。,"聚丙烯腈纖維 54%, 聚醯胺纖維 41%, 羊駝毛 5%",image/hm/man/34.jpg,風格:日常休閒;合適的場合:休閒聚會;衣服上的圖案描述:深棕色的暗紋印花，呈現出豐富的立體質感和層次感。
寬鬆剪裁連帽上衣,NT$599,淺咖啡色,連帽上衣，中量棉質混紡汗衫布料，柔軟刷毛內裡。連衣帽有平紋內裡和抽繩，垂肩長袖，有袋鼠袋，寬邊羅紋袖口和下襬。非加大碼寬鬆剪裁，打造寬版線條。,"棉 60%, 聚酯纖維 40%",image/hm/man/35.jpg,風格:休閒寬鬆風，合適的場合:日常休閒或運動，衣服上的圖案描述:無圖案，採用實色設計，有帽子並配有抽繩，長袖帶有下垂的肩膀，前面有袋鼠式口袋，袖口和下擺寬寬的有肋邊。
貼身輕薄鋪棉背心,NT$999,黑色,平織車縫薄鋪棉背心，立領，正面拉鍊有防磨擋布，貼身剪裁，有拉鍊式隱形側袋和開口式暗袋。袖口有細彈性飾邊。無內裡。,聚酯纖維 100%,image/hm/man/36.jpg,風格: 美觀又實用的修身棉背心。適合的場合: 户外活動或休閒場合。衣服上的圖案描述: 全黑色背心，以織機縫製表現出獨特的菱格紋路，並在領口、前拉鍊以及口袋處加入耐磨的面料，搭配精細的彈性口袋邊緣，無內裡設計。
標準剪裁毛氈夾克襯衫,"NT$1,499",深藍色/格紋,單排扣大衣，羊毛混紡毛氈布料，缺口翻領，正面鈕扣開襟，有嵌線斜側袋。衣袖有內裡。,"聚酯纖維 78%, 羊毛 22%",image/hm/man/37.jpg,風格: 時尚毛氈夾克襯衫；合適的場合: 優雅晚宴或商務會議；衣服上的圖案描述: 衣服呈現出深藍色碎花格紋，搭配單排扣大翻領設計，並有內嵌交叉口袋元素，袖子為內裡設計。
標準剪裁寬高領開襟衫,"NT$1,799",米色,長袖連帽上衣，柔軟汗衫布料布料，雙層連衣帽有抽繩，正面交疊設計。有袋鼠袋，羅紋袖口和下襬。,"棉 63%, 聚酯纖維 37%",image/hm/man/38.jpg,"風格: 經典寬胖翻領開衫, 合適的場合: 休閒或室內活動, 衣服上的圖案描述: 淡色頂部長袖帽衫，設有雙重帽子，畫繩和前折設計。有袋鼠口袋，和袖口。"
DryMove™運動工作短褲,NT$999,米色/大理石紋,長袖連帽上衣，柔軟汗衫布料布料，雙層連衣帽有抽繩，正面交疊設計。有袋鼠袋，羅紋袖口和下襬。,"棉 60%, 聚酯纖維 40%",image/hm/man/39.jpg,"風格:運動休閒, 合適的場合:健身運動, 衣服上的圖案描述:無圖案,以米白與大理石紋為主色調,搭配雙層連帽設計與袋鼠口袋元素,並有繩織和折疊設計。"
DryMove™運動背心上衣,NT$599,咖啡色/印花,上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,"棉 59%, 聚酯纖維 41%",image/hm/man/40.jpg,風格：休閒運動風，合適場合：日常休閒或運動，圖案描述：棕色帶有印花圖案的運動背心衫。
Loose Fit Bouclé overshirt,"NT$1,799",黑色,上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,"棉 60%, 聚酯纖維 40%",image/hm/man/41.jpg,風格: 休閒寬鬆; 合適的場合: 日常穿著; 衣服上的圖案描述: 無。
DryMove™運動T恤,NT$699,黑色,上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,"棉 60%, 聚酯纖維 40%",image/hm/man/42.jpg,風格：休閒舒適， 合適的場合：休閒運動， 衣服上的圖案描述：黑色，無圖案，使用優質棉與聚酯混合織物。
貼身牛仔褲,NT$799,深丹寧藍,有領襯衫式外套，柔軟棉質絨布布料，正面鈕扣開襟，休閒剪裁，有翻蓋式胸袋，袖口配鈕扣，平切下襬。無內裡。,棉 100%,image/hm/man/43.jpg,"風格:休閒小清新, 合適的場合:日常穿著, 衣服上的圖案描述:平實的牛仔材質搭配柔軟的棉質單品，釘扣綴飾，無任何圖案。"
DryMove™運動背心上衣,NT$599,淺米色,有領夾克襯衫，柔軟平織布料，正面鈕扣開襟，背面有肩襠，有鈕扣式翻蓋胸袋，長袖袖口配鈕扣。,"聚酯纖維 74%, 聚丙烯腈纖維 20%, 嫘縈 4%, 聚醯胺纖維 2%",image/hm/man/44.jpg,"風格: 素雅運動風, 合適的場合: 運動休閒場所, 衣服上的圖案描述: 淺膚色調，配有翻領、正面按扣、背部肩部設計、帶扣翻蓋胸口口袋和長袖帶扣袖口。"
DryMove™運動背心上衣,NT$599,黑色,長袖連帽上衣，棉質混紡汗衫布料，印有圖案。休閒剪裁，雙層連衣帽有抽繩，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/man/45.jpg,"休閒風格, 適合運動場合, 詳細版印有棉質混紡圖案的長袖帽衫。"
中腰錐形牛仔褲,"NT$1,499",丹寧藍,上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,"棉 60%, 聚酯纖維 40%",image/hm/man/46.jpg,"風格: 休閒牛仔, 合適的場合: 日常穿著, 衣服上的圖案描述: 典型的棉混紡卫衣布料，有柔软的刷毛衬里，休闲版型，下垂肩膀，有肋骨领口、袖口和下摆。衣服由60%棉和40%聚酯纤维製成，没有特定图案。"
標準剪裁Polo衫,"NT$1,499",White,柔軟提花針織套衫，含羊駝毛，標準剪裁，長拼接袖，羅紋領口、袖口和下襬。,"聚丙烯腈纖維 54%, 聚醯胺纖維 41%, 羊駝毛 5%",image/hm/man/47.jpg,風格: 標準剪裁保羅衫，風格: 輕柔的白色提花針織毛衣，場合: 日常休閒或商務便裝，圖案: 無圖案，全部以簡單素色為主。
休閒剪裁圖案運動衫,NT$799,米色/Bring Peace,絞花針織套衫，柔軟羊毛混紡布料，標準剪裁，羅紋立領，上部有拉鍊，長袖款式。,"聚丙烯腈纖維 65%, 聚醯胺纖維 25%, 羊毛 10%",image/hm/man/48.jpg,風格:休閒風格衣服，場合:日常穿著，圖案描述:淡米色呈現出平静的感覺，粗花呢毛衣呈現出柔和的羊毛混紡質感，有標準的合身度，有帶立領，頂部有拉鍊，長袖設計。
DryMove™口袋細節運動衫,"NT$1,299",黑色,有領夾克襯衫，柔軟平織布料，正面鈕扣開襟，背面有肩襠，有鈕扣式翻蓋胸袋，長袖袖口配鈕扣。,"聚酯纖維 73%, 聚丙烯腈纖維 25%, 羊毛 2%",image/hm/man/49.jpg,"風格: 黑色休閒套裝
場合: 日常休閒活動
圖案: 帶有前扣、後肩、帶扣襟翻口袋和長袖扣子的軟質織物夾克式襯衫"
休閒剪裁圖案連帽上衣,NT$999,綠色/Never Stay Down,棉質牛津布襯衫，標準剪裁，鈕扣領，經典前襟設計，背面有肩襠，有開口式單胸袋，長袖袖口配鈕扣，袖衩配單顆鈕扣，微圓下襬。,棉 100%,image/hm/man/50.jpg,"風格: 休閒時尚, 合適的場合: 日常穿搭, 圖案描述: 上面主要為綠色，有一個鮮明的""永不放棄""的圖案，配有連帽設計，搭配標準剪裁、鈕扣領，前面有代表性的設計。背後有肩領，單口袋設計，長袖設計與袖口上的鈕扣，此外"
標準剪裁平紋上衣,NT$299,咖啡色,柔軟棉質法蘭絨襯衫，翻領，正面鈕扣開襟，背面有肩襠，標準剪裁，有開口式單胸袋，長袖袖口配鈕扣，袖衩配單顆鈕扣，微圓下襬。,棉 100%,image/hm/man/51.jpg,
收窄運動慢跑褲,NT$999,黑色,傘兵工作褲，平織布料，休閒剪裁，鬆緊帶腰圍配抽繩，假門襟。有斜側袋和一個假嵌線後袋，寬鬆褲管有翻蓋袋，膝部抓褶可增加寬鬆度。褲腳彈性抽繩有繩扣。,聚酯纖維 100%,image/hm/man/52.jpg,
標準剪裁嫘縈襯衫,NT$799,黑色/花朵,連帽上衣，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。寬鬆剪裁，交疊式連衣帽有內裡，垂肩長袖，有袋鼠袋，羅紋袖口和下襬。,棉 100%,image/hm/man/53.jpg,
羅紋針織帽,NT$349,深咖啡色,上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,"棉 60%, 聚酯纖維 40%",image/hm/man/54.jpg,
貼身慢跑褲,"NT$1,299",黑色,柔軟泰迪熊上衣，立領，正面拉鍊開襟，垂肩長袖，有隱形側袋，寬鬆剪裁，袖口和下襬有覆面鬆緊帶。,聚酯纖維 100%,image/hm/man/55.jpg,
DryMove™寬鬆剪裁連帽上衣,"NT$1,499",淺米色,運動長褲，輕薄棉質混紡汗衫布料，柔軟刷毛內裡。覆面鬆緊帶腰圍配抽繩，側縫處有口袋，羅紋褲腳。標準剪裁，打造舒適經典線條。,棉 100%,image/hm/man/56.jpg,
DryMove™口袋細節運動衫,"NT$1,299",淺灰米色,汗衫布料連帽外套，寬鬆剪裁，連衣帽有絨毛內裡，正面拉鍊開襟，有斜側袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/man/57.jpg,
標準剪裁棉質橄欖球衫,NT$599,深紅色,長袖連帽上衣，棉質混紡汗衫布料，印有圖案。休閒剪裁，雙層連衣帽有抽繩，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/man/58.jpg,
Moccasin-seam shoes,"NT$1,799",深咖啡色,"Sports T-shirt in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a narrow trim around the neckline and a print motif on the front.",聚酯纖維 100%,image/hm/man/59.jpg,
貼身華夫格Polo衫,NT$599,奶油色,汗衫布料連帽外套，寬鬆剪裁，連衣帽有絨毛內裡，正面拉鍊開襟，有斜側袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/man/60.jpg,
DryMove™ Sports T-shirt,NT$349,橘色,柔軟針織開襟衫，標準剪裁，正面鈕扣開襟，有側袋，長袖款式。羅紋寬高領、袋口、袖口、下襬和鈕扣門襟。,"聚丙烯腈纖維 65%, 聚醯胺纖維 25%, 羊毛 10%",image/hm/man/61.jpg,
DryMove™運動T恤,NT$699,淺米色,連帽上衣，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。寬鬆剪裁，交疊式連衣帽有內裡，垂肩長袖，有袋鼠袋，羅紋袖口和下襬。,棉 100%,image/hm/man/62.jpg,
標準剪裁毛圈紗套衫,"NT$1,499",Light beige,5袋式棉質丹寧牛仔褲，微彈性布料，讓穿著倍添舒適。直筒褲管，腰部至褲腳為合身剪裁，腿部略為寬鬆舒適。中腰剪裁，拉鍊門襟。不敗丹寧款。,"棉 98%, 彈性纖維 2%",image/hm/man/63.jpg,
DryMove™運動工作短褲,NT$999,黑色,連帽上衣，棉質混紡汗衫布料，標準剪裁，連衣帽有內裡和抽繩，正面印圖案，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 58%, 聚酯纖維 42%",image/hm/man/64.jpg,
DryMove™彈性運動短褲,NT$599,黑色,有領夾克襯衫，柔軟棉質絨布布料，正面拉鍊開襟，標準剪裁，有翻蓋式胸袋，長袖袖口配鈕扣，平切下襬。,棉 100%,image/hm/man/65.jpg,
寬鬆剪裁絨毛上衣,"NT$1,499",黑色,運動長褲，中量棉質混紡汗衫布料，柔軟刷毛內裡。覆面鬆緊帶腰圍配抽繩，側縫處有口袋，羅紋褲腳。非加大碼休閒剪裁，打造隨興風格。,"棉 60%, 聚酯纖維 40%",image/hm/man/66.jpg,
寬鬆剪裁拉鍊絨毛上衣,"NT$1,499",淺米色/山,長袖上衣，輕薄平紋布料，羅紋圓領，平切下襬。標準剪裁，打造舒適經典線條。採用THERMOLITE®技術，布料輕薄但具保暖效果。,"棉 60%, 聚酯纖維 40%",image/hm/man/67.jpg,
合身絨布長褲,"NT$1,499",咖啡色,連帽上衣，棉質混紡汗衫布料，標準剪裁，連衣帽有內裡和抽繩，正面印圖案，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 58%, 聚酯纖維 42%",image/hm/man/68.jpg,
Regular Fit Twill joggers,"NT$1,499",深灰色/格紋,長袖上衣，輕薄平紋布料，羅紋圓領，平切下襬。標準剪裁，打造舒適經典線條。採用THERMOLITE®技術，布料輕薄但具保暖效果。,"棉 60%, 聚酯纖維 40%",image/hm/man/69.jpg,
DryMove™寬鬆剪裁棉質觸感運動T恤,NT$499,黑色/磨損,柔軟提花針織套衫，含羊駝毛，標準剪裁，長拼接袖，羅紋領口、袖口和下襬。,"聚丙烯腈纖維 54%, 聚醯胺纖維 41%, 羊駝毛 5%",image/hm/man/70.jpg,
收窄運動慢跑褲,NT$999,淺灰混色,連帽上衣，中量棉質混紡汗衫布料，柔軟刷毛內裡。連衣帽有平紋內裡和抽繩，垂肩長袖，有袋鼠袋，寬邊羅紋袖口和下襬。非加大碼寬鬆剪裁，打造寬版線條。,"棉 60%, 聚酯纖維 40%",image/hm/man/71.jpg,
